trial_num,sentence_id,word,event_time,real_time
1,S241,Το,0:00:01.368733,10:55:17.852
1,S241,κουλούρι,0:00:01.925676,10:55:18.408
1,S241,τον,0:00:02.481044,10:55:18.963
1,S241,χόρτασε,0:00:03.035631,10:55:19.518
,PAUSE_START,,0:00:03.180464,10:55:19.660
,PAUSE_RESUME,,0:00:06.067086,10:55:22.547
1,S241,τον,0:00:06.490975,10:55:22.975
1,S241,Δημήτρη,0:00:07.047494,10:55:23.530
,PAUSE_START,,0:00:07.080546,10:55:23.560
,PAUSE_RESUME,,0:00:10.850658,10:55:27.330
1,S241,επειδή,0:00:11.374949,10:55:27.858
1,S241,ήταν,0:00:11.930937,10:55:28.413
1,S241,πολύ,0:00:12.485799,10:55:28.968
1,S241,μεγάλο,0:00:13.040578,10:55:29.522
,PAUSE_START,,0:00:13.103210,10:55:29.583
